event_date,session,user,page_type,event_type,product
2022-10-08 17:02:41,14274187577460658115s,2006979063809820329u,search_listing_page,page_view,0
2022-10-08 17:06:19,14274187577460658115s,2006979063809820329u,search_listing_page,page_view,0
2022-10-08 22:19:47,2704204808571844605s,2007646148110679693u,listing_page,page_view,0
2022-10-08 22:24:30,8970170322512311099s,11839491588321754710u,search_listing_page,page_view,0
2022-10-08 21:22:20,16223970371660715740s,11839887495958431209u,product_page,page_view,0
2022-10-08 09:32:33,18071599838924847030s,11840488544463900252u,product_page,page_view,0
2022-10-03 13:55:11,14766241913479479142s,2465777020541099786u,listing_page,page_view,0
2022-10-11 21:37:30,14295968418153070037s,17910835123677111857u,product_page,page_view,0
2022-10-11 19:34:59,12229440244945054666s,17912676908806342770u,product_page,page_view,0
2022-10-02 08:37:45,18126509212678608005s,3471971272464343927u,product_page,page_view,0
2022-10-02 18:23:11,16894698896895622217s,3472286694110267465u,product_page,page_view,0
2022-10-02 12:55:51,10935540854777384967s,3472692511865768331u,listing_page,page_view,0
2022-10-09 13:37:56,10663224321551416612s,11964966394376162102u,listing_page,page_view,0
2022-10-11 21:11:08,14645445461317128964s,3927277935026708340u,search_listing_page,page_view,0
2022-10-11 21:08:36,14645445461317128964s,3927277935026708340u,search_listing_page,page_view,0
2022-10-12 21:21:58,17162216129625524258s,7143214210401440545u,listing_page,page_view,0
2022-10-11 18:59:18,14874859557066977780s,10942998390754256688u,product_page,page_view,0
2022-10-13 23:00:55,2570667435752577382s,23598239456842187u,search_listing_page,page_view,0
2022-10-13 23:26:13,2570667435752577382s,23598239456842187u,search_listing_page,page_view,0
2022-10-07 15:58:50,18324825412999909283s,23175418377498u,search_listing_page,page_view,0
2022-10-07 15:59:25,18324825412999909283s,23175418377498u,search_listing_page,page_view,0
2022-10-07 09:41:54,17280679321785569218s,4784852383519657u,product_page,page_view,0
2022-10-07 09:42:04,17280679321785569218s,4784852383519657u,product_page,page_view,0
2022-10-01 22:21:16,14071298644014680928s,12529639330197972490u,product_page,page_view,0
2022-10-11 08:44:01,5521795183332657336s,17914025937628975649u,listing_page,page_view,0
2022-10-12 15:27:06,11373900280258225269s,14843011651821423844u,listing_page,page_view,0
2022-10-12 08:47:54,16454924377300391746s,14844239410760899440u,search_listing_page,page_view,0
2022-10-12 08:48:30,16454924377300391746s,14844239410760899440u,product_page,add_to_cart,33842734
2022-10-12 08:47:29,16454924377300391746s,14844239410760899440u,product_page,add_to_cart,33849131
2022-10-12 18:52:10,15037381476383254029s,14844442470584978170u,product_page,page_view,0
2022-10-12 05:52:24,17843930620928530517s,14845802134617500581u,listing_page,page_view,0
2022-10-10 19:43:58,10096247132097734795s,1866609898190858666u,listing_page,page_view,0
2022-10-10 11:26:48,3137689970441755557s,1867896402285252426u,listing_page,page_view,0
2022-10-09 14:23:22,4413406728372400083s,2952190275387482886u,product_page,page_view,0
2022-10-09 14:20:50,4413406728372400083s,2952190275387482886u,product_page,page_view,0
2022-10-09 14:56:54,4413406728372400083s,2952190275387482886u,product_page,page_view,0
2022-10-03 18:07:28,4419821895124937833s,2470457436341586492u,search_listing_page,page_view,0
2022-10-03 18:29:16,4419821895124937833s,2470457436341586492u,search_listing_page,page_view,0
2022-10-03 13:14:32,10932162531007860690s,2470457436341586492u,product_page,page_view,0
2022-10-03 14:23:02,13440816754916857745s,2470457436341586492u,search_listing_page,page_view,0
2022-10-03 15:48:08,4908096065416067241s,2472768818458618576u,listing_page,page_view,0
2022-10-03 15:48:17,4908096065416067241s,2472768818458618576u,listing_page,page_view,0
2022-10-08 20:59:19,9673181749202388043s,2018367953990695196u,product_page,page_view,0
2022-10-08 17:35:46,7759971795736092251s,2019246186222310867u,product_page,page_view,0
2022-09-30 21:43:07,4986380024826965188s,268258052906285157u,product_page,page_view,0
2022-10-06 16:27:08,6739744556738607812s,7001737072579204046u,product_page,page_view,0
2022-10-08 13:51:58,1443718756064939735s,11844185093170499481u,listing_page,page_view,0
2022-10-08 11:56:01,4227092002580427488s,11845138985483548300u,listing_page,page_view,0
2022-10-08 11:56:00,4227092002580427488s,11845138985483548300u,listing_page,page_view,0
